level2,MaQH
sonhoa,560
songhinh,561
tayhoa,562
phuhoa,563
donghoa,564
nhatrang,568
camranh,569
camlam,570
vanninh,571
ninhhoa,572
khanhvinh,573
dienkhanh,574
khanhson,575
truongsa,576
phanrangthapcham,582
bacai,584
ninhson,585
ninhhai,586
ninhphuoc,587
thuanbac,588
thuannam,589
phanthiet,593
lagi,594
tuyphong,595
bacbinh,596
hamthuanbac,597
hamthuannam,598
tanhlinh,599
duclinh,600
hamtan,601
phuqui,602
kontum,608
dakglei,610
ngochoi,611
dakto,612
konplong,613
konray,614
dakha,615
sathay,616
tumorong,617
iah'drai,618
pleiku,622
ankhe,623
ayunpa,624
kbang,625
dakdoa,626
chupah,627
iagrai,628
mangyang,629
kongchro,630
ducco,631
chuprong,632
chuse,633
dakpo,634
iapa,635
krongpa,637
phuthien,638
chupuh,639
buonmathuot,643
thixabuonho,644
eah'leo,645
easup,646
buondon,647
cum'gar,648
krongbuk,649
krongnang,650
eakar,651
m'drak,652
krongbong,653
krongpac,654
krongana,655
lak,656
cukuin,657
gianghia,660
dakglong,661
cujut,662
dakmil,663
krongno,664
daksong,665
dakr'lap,666
tuyduc,667
dalat,672
baoloc,673
damrong,674
lacduong,675
lamha,676
donduong,677
ductrong,678
dilinh,679
baolam,680
dahuoai,681
dateh,682
cattien,683
phuoclong,688
dongxoai,689
binhlong,690
bugiamap,691
locninh,692
budop,693
honquan,694
dongphu,695
budang,696
chonthanh,697
phurieng,698
tayninh,703
tanbien,705
tanchau,706
duongminhchau,707
chauthanh,708
hoathanh,709
godau,710
bencau,711
trangbang,712
thudaumot,718
baubang,719
dautieng,720
bencat,721
phugiao,722
tanuyen,723
dian,724
thuanan,725
bactanuyen,726
bienhoa,731
longkhanh,732
tanphu,734
vinhcuu,735
dinhquan,736
trangbom,737
thongnhat,738
cammy,739
longthanh,740
xuanloc,741
nhontrach,742
vungtau,747
baria,748
chauduc,750
xuyenmoc,751
longdien,752
datdo,753
phumy,754
condao,755
q1,760
q12,761
govap,764
binhthanh,765
tanbinh,766
tanphu,767
phunhuan,768
thuduc,769
q3,770
q10,771
q11,772
q4,773
q5,774
q6,775
q8,776
binhtan,777
q7,778
cuchi,783
hocmon,784
binhchanh,785
nhabe,786
cangio,787
tanan,794
kientuong,795
tanhung,796
vinhhung,797
mochoa,798
tanthanh,799
thanhhoa,800
duchue,801
duchoa,802
benluc,803
thuthua,804
tantru,805
canduoc,806
cangiuoc,807
chauthanh,808
mytho,815
gocong,816
cailay,817
tanphuoc,818
caibe,819
cailay,820
chauthanh,821
chogao,822
gocongtay,823
gocongdong,824
tanphudong,825
bentre,829
chauthanh,831
cholach,832
mocaynam,833
giongtrom,834
binhdai,835
batri,836
thanhphu,837
mocaybac,838
travinh,842
canglong,844
cauke,845
tieucan,846
chauthanh,847
caungang,848
tracu,849
duyenhai,850
duyenhai,851
vinhlong,855
longho,857
mangthit,858
vungliem,859
tambinh,860
binhminh,861
traon,862
binhtan,863
caolanh,866
sadec,867
hongngu,868
tanhong,869
hongngu,870
tamnong,871
thapmuoi,872
caolanh,873
thanhbinh,874
lapvo,875
laivung,876
chauthanh,877
longxuyen,883
chaudoc,884
anphu,886
tanchau,887
phutan,888
chauphu,889
tinhbien,890
triton,891
chauthanh,892
chomoi,893
thoaison,894
rachgia,899
hatien,900
kienluong,902
hondat,903
tanhiep,904
chauthanh,905
giongrieng,906
goquao,907
anbien,908
anminh,909
vinhthuan,910
phuquoc,911
kienhai,912
uminhthuong,913
giangthanh,914
ninhkieu,916
omon,917
binhthuy,918
cairang,919
thotnot,923
vinhthanh,924
codo,925
phongdien,926
thoilai,927
vithanh,930
ngabay,931
chauthanha,932
chauthanh,933
phunghiep,934
vithuy,935
longmy,936
longmy,937
soctrang,941
chauthanh,942
kesach,943
mytu,944
culaodung,945
longphu,946
myxuyen,947
nganam,948
thanhtri,949
vinhchau,950
trande,951
baclieu,954
hongdan,956
phuoclong,957
vinhloi,958
giarai,959
donghai,960
hoabinh,961
camau,964
uminh,966
thoibinh,967
tranvanthoi,968
cainuoc,969
damdoi,970
namcan,971
phutan,972
ngochien,973
